English msgid	Turkish msgstr
1-SE rule	1-SE kuralı
Absolute event probabilities require a baseline survival estimate and evaluation at clinically relevant time horizons; the exported linear predictor alone is insufficient.	Mutlak olay olasılıkları, başlangıç sağkalım tahminini ve klinik açıdan anlamlı zaman ufuklarında değerlendirmeyi gerektirir; dışa aktarılan doğrusal yordayıcı tek başına yeterli değildir.
Add Risk Score to Data	Risk skorunu veriye ekle
Analysis Error	Analiz hatası
Analysis Notes	Analiz notları
Apparent AIC	Görünür AIC
Apparent C-index	Görünür C-indeksi
Apparent Development Performance	Geliştirme verisindeki görünür performans
Apparent Log-Likelihood	Görünür log-olabilirlik
At least 2 explanatory variables are required for Lasso regression.	LASSO regresyonu için en az 2 açıklayıcı değişken gereklidir.
At least two non-constant encoded predictor columns are required by this LASSO engine.	Bu LASSO motoru en az iki sabit olmayan kodlanmış yordayıcı sütunu gerektirir.
At most 30 paths are shown, ranked by summed absolute coefficients across the path. All retained columns remain in fitting; trace rank is not clinical importance.	Yol boyunca mutlak katsayı toplamına göre sıralanan en fazla 30 yol gösterilir. Korunan tüm sütunlar modelde kalır; çizgi sırası klinik önem belirtmez.
Bar colors indicate higher or lower fitted hazard. Ordering uses |coefficient| times the column standard deviation; raw bar lengths use original units.	Çubuk renkleri daha yüksek veya düşük tahmini hazardı gösterir. Sıralama |katsayı| ile sütunun standart sapımının çarpımına dayanır; çubuk uzunlukları özgün birimleri kullanır.
Blue: lambda.min, Green: lambda.1se	Mavi: lambda.min, yeşil: lambda.1se
Both optional comparison rows are unpenalized development-data fits. Their AIC values are not a formal selection-adjusted model comparison.	İsteğe bağlı iki karşılaştırma satırı da geliştirme verisinde kurulan cezasız modellerdir. AIC değerleri, seçimi dikkate alan biçimsel bir model karşılaştırması değildir.
Both rows are unpenalized Cox fits on the same development data. The first is fitted only after those columns were selected by LASSO; it is not the penalized model. C-index, log-likelihood, and AIC are apparent and selection-biased. In particular, the AIC values must not be used as a formal model-selection comparison because the candidate model was chosen from these same data.	İki satır da aynı geliştirme verisinde kurulan cezasız Cox modelleridir. İlk model yalnızca LASSO ile seçilen sütunlarla yeniden kurulur; cezalı model değildir. C-indeksi, log-olabilirlik ve AIC görünür değerlerdir ve seçim yanlılığı içerir. Aday model aynı veriden seçildiği için AIC değerleri biçimsel model seçimi amacıyla kullanılmamalıdır.
Candidate predictors	Aday yordayıcılar
Cannot determine censored level: all observed levels equal the event level.	Sansür düzeyi belirlenemedi: gözlenen tüm düzeyler olay düzeyine eşit.
Cannot form stratified cross-validation folds: at least 3 folds require at least 3 events and 3 censored observations. Found {nEvents} events and {nCensored} censored observations.	Tabakalı çapraz doğrulama katları oluşturulamıyor: en az 3 kat için en az 3 olay ve 3 sansürlü gözlem gerekir. {nEvents} olay ve {nCensored} sansürlü gözlem bulundu.
Categorical predictors are expanded into indicator columns and those columns are selected separately; this is not grouped selection of the whole factor.	Kategorik yordayıcılar gösterge sütunlarına açılır ve bu sütunlar ayrı ayrı seçilir; faktörün tamamı grup olarak seçilmez.
