option,type,default,ui,backend_lines,visible_results,computation,observed_results
data,Data,NULL/data,Dataset,"64, 244, 268, 843, 1319",,Validate and align case rows; independent branches use their own eligible inputs,"binomialTable, binomialText, bootstrapTable, clinicalSummary, clusteringTable, dataInfo, detectionCurve, empiricalCumulativePlot, empiricalCumulativeTable, empiricalCumulativeText, heterogeneityTest, incrementalYieldTable, keyResults, modelFitTable, modelFitText, multifocalAnalysisText, multifocalProbTable, multifocalTable, multifocalText, notices, obsPredTable, populationDetectionTable, prevalenceTable, probabilityExplanation, recommendTable, recommendText, sampleSizePlanningTable, sensitivityPlot, spatialClusteringText, stratifiedDetectionTable"
analysisContext,List,general,ComboBox  / Analysis Parameters / Clinical Context,"128, 1168, 2307, 2652",,Select the auto estimator and context explanations,"empiricalCumulativeText, recommendText"
totalSamples,Variable,NULL/data,VariablesListBox  / Total samples for first-detection analyses,"69, 1136, 1150",welcome,Validate first positions/counts; paired denominator; observed sample totals,"clusteringTable, correlationPlot, dataInfo, stageMigrationTable, tumorBurdenInfo"
firstDetection,Variable,NULL/data,VariablesListBox  / First-detection position for detection analyses,"70, 1136, 1151",welcome,Detected-case geometric estimate and observed cumulative positions,"binomialTable, binomialText, bootstrapTable, clinicalSummary, clusteringTable, dataInfo, detectionCurve, empiricalCumulativePlot, empiricalCumulativeTable, empiricalCumulativeText, heterogeneityTest, incrementalYieldTable, keyResults, modelFitTable, modelFitText, multifocalAnalysisText, multifocalProbTable, multifocalTable, multifocalText, notices, obsPredTable, populationDetectionTable, prevalenceTable, probabilityExplanation, recommendTable, recommendText, sampleSizePlanningTable, sensitivityPlot, spatialClusteringText, stratifiedDetectionTable"
positiveCount,Variable,NULL/data,VariablesListBox  / Observed-positive detection / Positive Samples Count (Optional),1154,,Paired detected-case count estimate and CV screening,"binomialTable, binomialText, clusteringTable, dataInfo, detectionCurve, empiricalCumulativePlot, keyResults, multifocalTable, notices, recommendTable"
positiveSamplesList,Variable,NULL/data,VariablesListBox  / Positive samples and spatial patterns / Positive Samples List (Optional),1155,,Parse bounded positions; gap indices and sequence groups,"clusteringTable, multifocalTable, multifocalText, notices, spatialClusteringText"
sampleType,Variable,NULL/data,VariablesListBox  / Stratified Analyses (Requires Sample Type) / Sample Type/Subtype (Optional),1156,,"Preserve labels; group counts, estimates and heterogeneity checks","heterogeneityTest, heterogeneityText, notices, prevalenceTable, stratifiedDetectionTable, stratifiedText"
targetConfidence,Number,0.95,TextBox  / Analysis Parameters / Sampling Protocol Settings,"1165, 1776, 1843",,Select headline target position; reference line in plots,"clinicalSummary, detectionCurve, empiricalCumulativePlot, keyResults, recommendText, sensitivityPlot"
maxSamples,Integer,10,TextBox  / Analysis Parameters / Sampling Protocol Settings,"61, 271, 1166",,Set prediction/empirical table grid and plot range,"betaBinomialTable, binomialTable, bootstrapTable, detectionCurve, empiricalCumulativePlot, empiricalCumulativeTable, hyperRecommendTable, hypergeometricTable, incrementalYieldTable, multifocalProbTable, obsPredTable, populationDetectionTable, sensitivityPlot"
bootstrapIterations,Integer,10000,TextBox  / Analysis Parameters / Statistical Methods,"1167, 1777",,Number of case resamples for percentile intervals,"bootstrapTable, bootstrapText, empiricalCumulativeTable, keyResults, notices, recommendText, sensitivityPlot"
showBinomialModel,Bool,TRUE,CheckBox  / Core Analyses,"1181, 1489, 1513","binomialText, binomialTable, recommendTable",Enable/populate the corresponding optional analysis or explanation,"binomialTable, binomialText, dataInfo, detectionCurve, empiricalCumulativePlot, keyResults, notices, recommendTable"
showBootstrap,Bool,FALSE,CheckBox  / Core Analyses,"81, 1310, 1733, 1763","bootstrapText, bootstrapTable, sensitivityPlot",Enable/populate the corresponding optional analysis or explanation,"bootstrapTable, bootstrapText, clinicalSummary, keyResults, notices, recommendText, sensitivityPlot"
showDetectionCurve,Bool,FALSE,CheckBox  / Core Analyses,1489,detectionCurve,Enable/populate the corresponding optional analysis or explanation,detectionCurve
showSensitivityCI,Bool,FALSE,CheckBox  / Core Analyses,,sensitivityPlot,Enable/populate the corresponding optional analysis or explanation,sensitivityPlot
setSeed,Bool,FALSE,CheckBox  / Advanced Options,1394,,Enable local seed while preserving caller RNG state,"bootstrapTable, empiricalCumulativeTable, sensitivityPlot"
seedValue,Integer,42,TextBox  / Advanced Options,1410,,Local bootstrap seed when setSeed is enabled,"bootstrapTable, empiricalCumulativeTable, sensitivityPlot"
positiveCassettes,Variable,NULL/data,VariablesListBox  / Tumor Burden & Stage Migration / Positive Samples (for burden),"1882, 1886, 2034, 2043, 2106",,"Positive-sample burden, threshold summaries and correlation","cassetteDistribution, correlationPlot, correlationStats, correlationText, notices, stageMigrationTable, stageMigrationText, tumorBurdenInfo, tumorBurdenText"
totalFoci,Variable,NULL/data,VariablesListBox  / Tumor Burden & Stage Migration / Total foci across slides (optional),2179,,Total foci for single-versus-summed comparisons,"distributionComparisonTable, distributionPatternTable, distributionPatternText, notices"
adequacyThreshold,Integer,12,TextBox  / Specialized Models / Lymph Node Analyses,252,,Node count cutoff for Wilson adequacy summary,effectSizesTable
maxPositiveSingle,Variable,NULL/data,VariablesListBox  / Tumor Burden & Stage Migration / Maximum foci on one slide (optional),2180,,Largest single-sample foci count,"distributionComparisonTable, distributionPatternTable, distributionPatternText, notices"
showTumorBurden,Bool,FALSE,CheckBox  / Tumor Burden & Stage Migration,"1882, 1912","tumorBurdenText, tumorBurdenInfo, cassetteDistribution",Enable/populate the corresponding optional analysis or explanation,"cassetteDistribution, notices, tumorBurdenInfo, tumorBurdenText"
showStageMigration,Bool,FALSE,CheckBox  / Tumor Burden & Stage Migration,"84, 2034, 2061","stageMigrationText, stageMigrationTable",Enable/populate the corresponding optional analysis or explanation,"notices, stageMigrationTable, stageMigrationText"
showCorrelation,Bool,FALSE,CheckBox  / Tumor Burden & Stage Migration,2107,"correlationText, correlationStats, correlationPlot",Enable/populate the corresponding optional analysis or explanation,"correlationPlot, correlationStats, correlationText, notices"
showDistributionPattern,Bool,FALSE,CheckBox  / Tumor Burden & Stage Migration,"85, 2182, 2201","distributionPatternText, distributionPatternTable, distributionComparisonTable",Enable/populate the corresponding optional analysis or explanation,"distributionComparisonTable, distributionPatternTable, distributionPatternText, notices"
distributionThreshold,Integer,5,TextBox  / Tumor Burden & Stage Migration,2196,,Foci threshold for single-versus-summed classification,"distributionComparisonTable, distributionPatternTable, distributionPatternText"
totalPopulation,Variable,NULL/data,VariablesListBox  / Specialized Models / Probability Models / Total Population,"90, 275, 278, 507, 510",,Finite-population size and beta-binomial trial denominator,"betaBinomialRecommendTable, betaBinomialTable, betaBinomialText, hyperRecommendTable, hypergeometricTable, hypergeometricText, notices"
successStates,Variable,NULL/data,VariablesListBox  / Specialized Models / Probability Models / Success States,"91, 275, 279, 507, 511",,Finite positive-state count and beta-binomial response,"betaBinomialRecommendTable, betaBinomialTable, betaBinomialText, hyperRecommendTable, hypergeometricTable, hypergeometricText, notices"
targetDetections,Integer,1,TextBox  / Specialized Models / Probability Models,"297, 575",,Tail event X >= target for finite-population predictions,"betaBinomialRecommendTable, betaBinomialTable, hyperRecommendTable, hypergeometricTable, hypergeometricText"
showHypergeometric,Bool,FALSE,CheckBox  / Specialized Models / Probability Models,"94, 95, 275, 310, 351, 367, 396","hypergeometricText, hypergeometricTable, hyperRecommendTable",Enable/populate the corresponding optional analysis or explanation,"hyperRecommendTable, hypergeometricTable, hypergeometricText, notices"
showBetaBinomial,Bool,FALSE,CheckBox  / Specialized Models / Probability Models,"96, 97, 507, 539, 565, 712, 735","betaBinomialText, betaBinomialTable, betaBinomialRecommendTable",Enable/populate the corresponding optional analysis or explanation,"betaBinomialRecommendTable, betaBinomialTable, betaBinomialText, notices"
totalLymphNodes,Variable,NULL/data,VariablesListBox  / Specialized Models / Lymph Node Analyses / Total Lymph Nodes,"101, 243, 244, 847, 849",,Node-count denominator and adequacy fraction,"adequacyByELN, ajccNStage, effectSizesTable, effectSizesText, lnAnalysisText, lnrClassification, notices"
positiveLymphNodes,Variable,NULL/data,VariablesListBox  / Specialized Models / Lymph Node Analyses / Positive Lymph Nodes,"102, 847, 850",,Node-count ratio and pancreatic count categories,"adequacyByELN, ajccNStage, lnAnalysisText, lnrClassification, notices"
showLNAnalysis,Bool,FALSE,CheckBox  / Specialized Models / Lymph Node Analyses,"98, 847, 896","lnAnalysisText, lnrClassification, ajccNStage, adequacyByELN",Enable/populate the corresponding optional analysis or explanation,"adequacyByELN, ajccNStage, lnAnalysisText, lnrClassification, notices"
lnrThreshold1,Number,0.1,TextBox  / Specialized Models / Lymph Node Analyses,"99, 879, 904",,First adjustable LNR category boundary,lnrClassification
lnrThreshold2,Number,0.3,TextBox  / Specialized Models / Lymph Node Analyses,"99, 879, 905",,Second adjustable LNR category boundary,lnrClassification
showEffectSizes,Bool,FALSE,CheckBox  / Specialized Models / Lymph Node Analyses,243,"effectSizesText, effectSizesTable",Enable/populate the corresponding optional analysis or explanation,"effectSizesTable, effectSizesText, notices"
showOmentumAnalysis,Bool,FALSE,CheckBox  / Specialized Models / Literature-Based Analyses,2762,omentumText,Enable/populate the corresponding optional analysis or explanation,omentumText
showClinicalSummary,Bool,FALSE,CheckBox  / Core Analyses,2743,clinicalSummary,Enable/populate the corresponding optional analysis or explanation,clinicalSummary
showGuidedInstructions,Bool,FALSE,CheckBox  / Instructions / Instructions,1067,guidedInstructions,Enable/populate the corresponding optional analysis or explanation,guidedInstructions
showConciseInstructions,Bool,FALSE,CheckBox  / Instructions / Instructions,1124,conciseInstructions,Enable/populate the corresponding optional analysis or explanation,conciseInstructions
showEmpiricalCumulative,Bool,FALSE,CheckBox  / Observed-positive detection,"86, 1493, 2293, 2319","empiricalCumulativeText, empiricalCumulativeTable, empiricalCumulativePlot",Enable/populate the corresponding optional analysis or explanation,"empiricalCumulativePlot, empiricalCumulativeTable, empiricalCumulativeText"
showSpatialClustering,Bool,FALSE,CheckBox  / Positive samples and spatial patterns,"2478, 2512","spatialClusteringText, clusteringTable",Enable/populate the corresponding optional analysis or explanation,"clusteringTable, notices, spatialClusteringText"
showStratifiedAnalysis,Bool,FALSE,CheckBox  / Stratified Analyses (Requires Sample Type),"1493, 2387, 2402","stratifiedText, prevalenceTable, stratifiedDetectionTable",Enable/populate the corresponding optional analysis or explanation,"notices, prevalenceTable, stratifiedDetectionTable, stratifiedText"
showPopulationDetection,Bool,FALSE,CheckBox  / Observed-positive detection,"87, 1492, 2445, 2457","populationDetectionText, populationDetectionTable",Enable/populate the corresponding optional analysis or explanation,"populationDetectionTable, populationDetectionText"
showIncrementalYield,Bool,FALSE,CheckBox  / Observed-positive detection,"2340, 2381","incrementalYieldText, incrementalYieldTable",Enable/populate the corresponding optional analysis or explanation,"incrementalYieldTable, incrementalYieldText"
fociGapThreshold,Integer,2,TextBox  / Positive samples and spatial patterns,3088,,A strictly larger position gap starts another heuristic group,multifocalTable
showMultifocalAnalysis,Bool,FALSE,CheckBox  / Positive samples and spatial patterns,"83, 1491, 1680, 2539, 2571","multifocalText, multifocalTable, multifocalAnalysisText, multifocalProbTable",Enable/populate the corresponding optional analysis or explanation,"multifocalAnalysisText, multifocalProbTable, multifocalTable, multifocalText"
showProbabilityExplanation,Bool,FALSE,CheckBox  / Display Options / Specific Text Outputs,"1492, 1726",probabilityExplanation,Enable/populate the corresponding optional analysis or explanation,probabilityExplanation
showKeyResults,Bool,TRUE,CheckBox  / Display Options / Specific Text Outputs,2739,keyResults,Enable/populate the corresponding optional analysis or explanation,keyResults
showRecommendText,Bool,FALSE,CheckBox  / Display Options / Specific Text Outputs,2700,recommendText,Enable/populate the corresponding optional analysis or explanation,recommendText
showInterpretText,Bool,FALSE,CheckBox  / Display Options / Specific Text Outputs,2757,interpretText,Enable/populate the corresponding optional analysis or explanation,interpretText
showReferencesText,Bool,FALSE,CheckBox  / Display Options / Specific Text Outputs,2771,referencesText,Enable/populate the corresponding optional analysis or explanation,referencesText
